Date,Song,Artist,Peak Position,Weeks in Charts
2024-04-03,Girl I’ve Always Been,Olivia Rodrigo,1,-
2024-07-10,Girl; So Confusing,Charli xcx With Lorde,63,2
2024-08-21,Girls,The Kid LAROI,6,-
2023-11-15,God Gave Me A Girl,Russell Dickerson,81,5
2024-08-28,Goes Without Saying,Post Malone Featuring Brad Paisley,1,-
2024-02-22,Good (Don't Die),¥$: Kanye West & Ty Dolla $ign,1,-
2024-02-28,Good Good,Usher| Summer Walker & 21 Savage,25,28
2024-08-28,Good Luck; Babe!,Chappell Roan,6,20
2023-10-25,Gracias Por Nada,Bad Bunny,1,-
2024-01-24,Great Gatsby,Rod Wave,30,17
2024-07-10,Greedy,Tate McRae,3,42
2024-08-28,Guess,Charli xcx Featuring Billie Eilish,12,3
2024-07-03,Guilty As Sin?,Taylor Swift,10,10
2024-07-24,Guilty Conscience 2,Eminem,1,-
2024-08-28,Guy For That,Post Malone Featuring Luke Combs,17,4
2024-04-17,H.Y.B.,J. Cole Featuring Bas & Central Cee,1,-
2023-10-11,HG4,Rod Wave,51,3
2023-10-04,HVN On Earth,Lil Tecca & Kodak Black,1,-
2024-07-31,Habits,Eminem & White Gold,19,2
2024-05-22,Hakuna Matata,Gunna,1,-
2024-07-03,Halfway To Hell,Jelly Roll,48,12
2024-08-28,Hang Tight Honey,Lainey Wilson,61,10
2024-01-03,Happy Holiday / The Holiday Season,Andy Williams,18,19
2024-01-03,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,38,6
2024-03-27,Harley Quinn,Fuerza Regida & Marshmello,40,20
2024-08-14,Hate Me,Lil Yachty & ian,68,2
2024-08-28,Have The Heart,Post Malone Featuring Dolly Parton,1,-
2024-01-03,Have Yourself A Merry Little Christmas,Michael Buble,4,-
2024-07-24,Head Honcho,Eminem & Ez Mil,1,-
2024-06-12,Heat Stick,Shoreline Mafia Presents OhGeesy & Fenix Flexin,97,3
2024-07-03,Hell N Back,Bakar Featuring Summer Walker,53,12
2024-08-28,Help Me,Real Boston Richey,62,5
2024-01-03,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,21,20
2024-01-17,Hey Driver,Zach Bryan Featuring The War And Treaty,14,20
2023-11-01,Hibiki,Bad Bunny & Mora,24,2
2024-08-28,Hide My Gun,Post Malone Featuring HARDY,1,-
2024-08-28,High Road,Koe Wetzel & Jessie Murph,22,11
2024-08-14,Highjack,A$AP Rocky Featuring Jessica Pratt,1,-
2024-03-13,Hiss,Megan Thee Stallion,1,6
2023-09-20,Holy Roller,Zach Bryan Featuring Sierra Ferrell,37,3
2024-08-21,Holy Smokes,Bailey Zimmerman,5,-
2024-04-24,Home,Good Neighbours,77,11
2024-02-22,Hoodrat,¥$: Kanye West & Ty Dolla $ign,1,-
2024-08-28,Hot To Go!,Chappell Roan,16,12
2024-07-10,Hot Uptown,Camila Cabello Featuring Drake,1,-
2024-08-28,Houdini,Eminem,2,12
2024-08-21,Housekeeping Knows,Drake Featuring Latto,1,-
2024-05-22,How Did It End?,Taylor Swift,35,4
2023-11-08,How You Get The Girl (Taylor's Version),Taylor Swift,1,-
2024-04-24,Huntin' Wabbitz,J. Cole,28,2
2024-08-28,I Am Not Okay,Jelly Roll,29,10
2024-08-28,I Can Do It With A Broken Heart,Taylor Swift,3,18
2024-04-03,I Can Feel It,Kane Brown,50,13
2024-05-22,I Can Fix Him (No Really I Can),Taylor Swift,20,4
2024-07-10,I Don't Wanna Wait,David Guetta & OneRepublic,1,-
2024-08-28,I Had Some Help,Post Malone Featuring Morgan Wallen,1,15
2024-05-15,I Hate It Here,Taylor Swift,34,3
2024-01-17,I Know ?,Travis Scott,11,22
2023-11-08,I Know Places (Taylor's Version),Taylor Swift,1,-
2024-08-14,I Like The Way You Kiss Me,Artemas,12,20
2024-05-08,I Look In People's Windows,Taylor Swift,39,2
2024-08-28,I Love You; I'm Sorry,Gracie Abrams,74,3
2024-04-10,I Luv It,Camila Cabello & Playboi Carti,1,-
2024-08-28,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,1,52
2024-01-03,I Saw Mommy Kissing Santa Claus,Jackson 5,1,-
2023-11-29,"I Swear; I Really Wanted To Make A ""Rap"" Album But...",Andre 3000,1,-
2024-05-22,I Think I'm In Love With You,Chris Stapleton,2,-
2024-03-27,I Wish I Hated You,Ariana Grande,39,2
2023-11-08,I Wish You Would (Taylor's Version),Taylor Swift,1,-
2024-02-28,IDGAF,Drake Featuring Yeat,2,20
2024-04-10,II Hands II Heaven,Beyonce,1,-
2024-05-15,II Most Wanted,Beyonce & Miley Cyrus,6,6
2024-06-26,Ice Age,Don Toliver Featuring Travis Scott,1,-
2024-04-10,Ice Attack,Future & Metro Boomin,13,2
2024-03-27,Igual Que Un Angel,Kali Uchis & Peso Pluma,22,10
2024-08-21,Illusion,Dua Lipa,43,18
2024-03-27,Imperfect For You,Ariana Grande,37,2
2023-10-11,In Your Love,Tyler Childers,43,10
2024-07-31,Indifferent,Megan Moroney,91,2
2024-03-27,Intro (End Of The World),Ariana Grande,38,2
2024-04-03,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,1,22
2024-01-03,It's Beginning To Look A Lot Like Christmas,Michael Buble,19,20
2024-01-03,It's The Most Wonderful Time Of The Year,Andy Williams,5,39
2024-08-28,It's Up,Drake| Young Thug & 21 Savage,28,2
2024-01-24,J Christ,Lil Nas X,1,-
2023-09-06,Jaded,Miley Cyrus,56,15
2023-09-13,Jake's Piano - Long Island,Zach Bryan,41,2
